token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size,exchange_type
56879,NIFTY27MAR2525350PE,NIFTY,27MAR2025,25350.0,75,OPTIDX,NFO,5.0,2
56878,NIFTY27MAR2525350CE,NIFTY,27MAR2025,25350.0,75,OPTIDX,NFO,5.0,2
56880,NIFTY27MAR2525400CE,NIFTY,27MAR2025,25400.0,75,OPTIDX,NFO,5.0,2
56881,NIFTY27MAR2525400PE,NIFTY,27MAR2025,25400.0,75,OPTIDX,NFO,5.0,2
56883,NIFTY27MAR2525450PE,NIFTY,27MAR2025,25450.0,75,OPTIDX,NFO,5.0,2
56882,NIFTY27MAR2525450CE,NIFTY,27MAR2025,25450.0,75,OPTIDX,NFO,5.0,2
56884,NIFTY27MAR2525500CE,NIFTY,27MAR2025,25500.0,75,OPTIDX,NFO,5.0,2
56885,NIFTY27MAR2525500PE,NIFTY,27MAR2025,25500.0,75,OPTIDX,NFO,5.0,2
56887,NIFTY27MAR2525550PE,NIFTY,27MAR2025,25550.0,75,OPTIDX,NFO,5.0,2
56886,NIFTY27MAR2525550CE,NIFTY,27MAR2025,25550.0,75,OPTIDX,NFO,5.0,2
56888,NIFTY27MAR2525600CE,NIFTY,27MAR2025,25600.0,75,OPTIDX,NFO,5.0,2
56889,NIFTY27MAR2525600PE,NIFTY,27MAR2025,25600.0,75,OPTIDX,NFO,5.0,2
56891,NIFTY27MAR2525650PE,NIFTY,27MAR2025,25650.0,75,OPTIDX,NFO,5.0,2
56890,NIFTY27MAR2525650CE,NIFTY,27MAR2025,25650.0,75,OPTIDX,NFO,5.0,2
56893,NIFTY27MAR2525700PE,NIFTY,27MAR2025,25700.0,75,OPTIDX,NFO,5.0,2
56892,NIFTY27MAR2525700CE,NIFTY,27MAR2025,25700.0,75,OPTIDX,NFO,5.0,2
56894,NIFTY27MAR2525750CE,NIFTY,27MAR2025,25750.0,75,OPTIDX,NFO,5.0,2
56895,NIFTY27MAR2525750PE,NIFTY,27MAR2025,25750.0,75,OPTIDX,NFO,5.0,2
58784,NIFTY27MAR2525800PE,NIFTY,27MAR2025,25800.0,75,OPTIDX,NFO,5.0,2
58782,NIFTY27MAR2525800CE,NIFTY,27MAR2025,25800.0,75,OPTIDX,NFO,5.0,2
58786,NIFTY27MAR2525850CE,NIFTY,27MAR2025,25850.0,75,OPTIDX,NFO,5.0,2
58792,NIFTY27MAR2525850PE,NIFTY,27MAR2025,25850.0,75,OPTIDX,NFO,5.0,2
58793,NIFTY27MAR2525900CE,NIFTY,27MAR2025,25900.0,75,OPTIDX,NFO,5.0,2
58794,NIFTY27MAR2525900PE,NIFTY,27MAR2025,25900.0,75,OPTIDX,NFO,5.0,2
59769,NIFTY27MAR2525950CE,NIFTY,27MAR2025,25950.0,75,OPTIDX,NFO,5.0,2
59770,NIFTY27MAR2525950PE,NIFTY,27MAR2025,25950.0,75,OPTIDX,NFO,5.0,2
64573,NIFTY27MAR2526000PE,NIFTY,27MAR2025,26000.0,75,OPTIDX,NFO,5.0,2
64572,NIFTY27MAR2526000CE,NIFTY,27MAR2025,26000.0,75,OPTIDX,NFO,5.0,2
64577,NIFTY27MAR2527000PE,NIFTY,27MAR2025,27000.0,75,OPTIDX,NFO,5.0,2
64576,NIFTY27MAR2527000CE,NIFTY,27MAR2025,27000.0,75,OPTIDX,NFO,5.0,2
64578,NIFTY27MAR2528000CE,NIFTY,27MAR2025,28000.0,75,OPTIDX,NFO,5.0,2
64579,NIFTY27MAR2528000PE,NIFTY,27MAR2025,28000.0,75,OPTIDX,NFO,5.0,2
64582,NIFTY27MAR2529000CE,NIFTY,27MAR2025,29000.0,75,OPTIDX,NFO,5.0,2
64583,NIFTY27MAR2529000PE,NIFTY,27MAR2025,29000.0,75,OPTIDX,NFO,5.0,2
64591,NIFTY27MAR2530000PE,NIFTY,27MAR2025,30000.0,75,OPTIDX,NFO,5.0,2
64584,NIFTY27MAR2530000CE,NIFTY,27MAR2025,30000.0,75,OPTIDX,NFO,5.0,2
64593,NIFTY27MAR2531000PE,NIFTY,27MAR2025,31000.0,75,OPTIDX,NFO,5.0,2
64592,NIFTY27MAR2531000CE,NIFTY,27MAR2025,31000.0,75,OPTIDX,NFO,5.0,2
